date,Center-count,Conservative-count,Progressive-count,Center-total_count,Conservative-total_count,Progressive-total_count,Center-ratio,Conservative-ratio,Progressive-ratio
"2019-12-01","2146","4463","3618","2146","4463","3618","1.0","1.0","1.0"
"2019-12-02","9189","12821","12824","9189","12821","12824","1.0","1.0","1.0"
"2019-12-03","9516","13797","13031","9516","13797","13031","1.0","1.0","1.0"
"2019-12-04","9395","13532","12775","9395","13532","12775","1.0","1.0","1.0"
"2019-12-05","9117","13194","13041","9117","13194","13041","1.0","1.0","1.0"
"2019-12-06","8242","11150","11888","8242","11150","11888","1.0","1.0","1.0"
"2019-12-07","5298","6980","6267","5298","6980","6267","1.0","1.0","1.0"
"2019-12-08","5756","7126","6857","5756","7126","6857","1.0","1.0","1.0"
"2019-12-09","8609","12717","12299","8609","12717","12299","1.0","1.0","1.0"
"2019-12-10","8756","13633","13192","8756","13633","13192","1.0","1.0","1.0"
"2019-12-11","8720","13321","13154","8720","13321","13154","1.0","1.0","1.0"
"2019-12-12","10058","13586","13260","10058","13586","13260","1.0","1.0","1.0"
"2019-12-13","9151","12171","11630","9151","12171","11630","1.0","1.0","1.0"
"2019-12-14","5547","7043","6629","5547","7043","6629","1.0","1.0","1.0"
"2019-12-15","5703","7829","6724","5703","7829","6724","1.0","1.0","1.0"
