date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-06-03","16","11","5","35147","12631","13055","0.00045523088741571116","0.0008708732483572164","0.00038299502106472615"
"2019-06-04","12","11","1","37898","13657","13838","0.0003166394004960684","0.0008054477557296625","7.226477814713109e-05"
"2019-06-05","10","10","0","36905","13321","13853","0.00027096599376778217","0.0007506943923128894","0"
"2019-06-06","4","4","0","37241","13752","13589","0.00010740850138288446","0.00029086678301337986","0"
"2019-06-07","5","5","0","33940","11648","12698","0.0001473187978786093","0.00042925824175824175","0"
"2019-06-08","4","3","1","20406","7328","7059","0.00019602077820248947","0.0004093886462882096","0.00014166312508853945"
"2019-06-09","4","4","0","19782","7075","6653","0.00020220402386007482","0.0005653710247349824","0"
"2019-06-10","13","13","0","33913","12257","12606","0.00038333382478695485","0.001060618422126132","0"
"2019-06-11","23","21","2","36419","13221","13595","0.0006315384826601499","0.0015883821193555707","0.0001471129091577786"
"2019-06-12","12","6","1","37319","13287","14151","0.00032155202443795384","0.0004515692029803567","7.066638400113066e-05"
"2019-06-13","11","10","1","36691","12907","14010","0.0002998010411272519","0.0007747733787867049","7.137758743754462e-05"
"2019-06-14","22","16","4","33327","11330","12687","0.0006601254238305278","0.001412180052956752","0.0003152833609206274"
"2019-06-15","4","4","0","21767","7436","8017","0.0001837644140212248","0.0005379236148466917","0"
"2019-06-16","15","15","0","19174","6997","6556","0.0007823093772817357","0.0021437759039588393","0"
"2019-06-17","18","17","1","34495","12541","12731","0.0005218147557617046","0.0013555537835898254","7.854842510407666e-05"
"2019-06-18","10","8","2","36142","13197","13247","0.00027668640363012563","0.0006061983784193377","0.00015097757982939533"
"2019-06-19","11","10","1","39748","14131","13977","0.0002767434839488779","0.0007076640011322624","7.154611146884167e-05"
"2019-06-20","11","10","1","36775","13107","13468","0.0002991162474507138","0.0007629510948348211","7.425007425007424e-05"
